Ticket,Description,Organization,Status,Priority,Properties,Tags,Assigned,Created
DASH-1,Error on generating G-sheet link for bulk input of products,Organization 3,IN PROGRESS,P3: Normal.,Escalated to Tech Onboarding,Bug,Elijah Thompson; John Johnson; Evelyn Davis,24-Sep-25
DASH-2,Cannot generate Store order report (Product Merge),Organization 2,ACKNOWLEDGED,P3: Normal.,Escalated to Tech Onboarding,Patient,Jacob Perez; Logan Brown,6-Sep-25
DASH-3,Listed Concerns,Organization 3,ACKNOWLEDGED,P3: Normal.,Backlog,Reference Range,Harper Brown; Lucas Davis; Lucas Davis,30-Sep-25
DASH-4,UTZ Machine Unable to Send Images,Organization 4,IN PROGRESS,P3: Normal.,Site-wide,Docs gen,Ava Johnson; Sophia Moore; Mason Lee,31-Aug-25
DASH-5,Orders Not Automatically Updating to Paid Status,Organization 2,COMPLETED,P2: Urgent. Workaround available.,Recurring,Actions,Jacob Moore; John Lee,1-Sep-25
DASH-6,List of concerns,Organization 4,COMPLETED,P3: Normal.,Org-wide,Patient,Evelyn Smith; Logan Martinez,20-Sep-25
DASH-7,Incorrect Statement of Account for Philippine Sports Commission,Organization 3,COMPLETED,P1: Urgent. No workaround.,Escalated to Dev,Patient; Settings; Reference Range,Logan Johnson,25-Aug-25
DASH-8,Request to Add Partners to Products (Excluding 'Package'),Organization 3,COMPLETED,P3: Normal.,Org-wide,Services; Update,Ava Martin,6-Aug-25
DASH-9,Unable to view PT08 Notes and Other Patient Services,Organization 4,COMPLETED,P1: Urgent. No workaround.,Site-wide,Services; Store Orders; Signatories,Elijah Thompson,3-Sep-25
DASH-10,Sales Report Display Overlap,Organization 1,IN PROGRESS,P3: Normal.,Site-wide,Signatories; Update,Evelyn Anderson; Ethan Thomas; Isabella Moore,28-Aug-25
DASH-11,MCH results are not transmitting from the Hema machine,Organization 1,IN PROGRESS,P3: Normal.,Escalated to Service Managers,Bug; Update,Harper Martinez,12-Aug-25
DASH-12,LIS unable to generate daily census report,Organization 3,WAITING FOR CONFIRMATION,P3: Normal.,Site-wide,Bug; Settings,Lucas Thomas; Lucas Perez; Mia Thomas,11-Aug-25
DASH-13,Delayed upload of radiology images to PACS,Organization 3,COMPLETED,P3: Normal.,Org-wide,User Access,Charlotte Davis,15-Aug-25
DASH-14,Barcode scanner not recognized by LIS terminal,Organization 1,IN PROGRESS,P3: Normal.,Escalated to Service Managers,Bug; Store Orders; Docs gen,Oliver Martin,6-Sep-25
DASH-15,Pathology reports showing duplicate patient names,Organization 1,WAITING FOR CONFIRMATION,P3: Normal.,Escalated to Enterprise,Settings; Bug; Patient Services,Charlotte Anderson; John Smith,13-Aug-25
DASH-16,Hematology analyzer connectivity intermittent,Organization 4,COMPLETED,P3: Normal.,Escalated to Dev,Settings; Update; Docs gen,Mia Brown; Jacob Lee,11-Sep-25
DASH-17,LIS printing template misaligned for invoices,Organization 4,ACKNOWLEDGED,P3: Normal.,Org-wide,Reference Range; Signatories,Logan Anderson,14-Aug-25
DASH-18,Failed HL7 transmission for chemistry results,Organization 1,WAITING FOR CONFIRMATION,P3: Normal.,Escalated to Dev,Docs gen; User Access,Noah Lee; Evelyn Perez,15-Sep-25
DASH-19,LIS downtime during peak OPD hours,Organization 4,IN PROGRESS,P3: Normal.,Site-wide,Patient; Documents; Machine Transmission,Ethan Jackson; Harper Perez; Ella Thomas,21-Aug-25
DASH-20,Doctor portal not syncing with patient results,Organization 4,ACKNOWLEDGED,P3: Normal.,Escalated to Enterprise,Signatories; Documents,John Brown,11-Sep-25
DASH-21,LIS slow response on cashier transactions,Organization 2,ACKNOWLEDGED,P3: Normal.,Escalated to Dev,Reference Range; Update,Ethan Brown; Oliver Rodriguez; Evelyn Rodriguez,12-Aug-25
DASH-22,Patient service test results changing to alphanumeric IDs,Organization 4,ACKNOWLEDGED,P2: Urgent. Workaround available.,Backlog,Reference Range; Services,Jacob Perez; Charlotte Johnson,13-Aug-25
DASH-23,Administrator Account Lacks Continental Access,Organization 3,WAITING FOR CONFIRMATION,P3: Normal.,Backlog,Reference Range; Bug,Evelyn Jackson; Lucas Moore,12-Aug-25
DASH-24,Addition of Signatory,Organization 4,IN PROGRESS,P1: Urgent. No workaround.,Site-wide,Settings; Update; Reference Range,Evelyn Davis; Mason Lopez,23-Aug-25
DASH-25,Routing Slip Adjustment,Organization 4,ACKNOWLEDGED,P3: Normal.,Escalated to Service Managers,Machine Transmission; Patient; Reference Range,Isabella Taylor,12-Aug-25
DASH-26,Transaction Void Request: 16354,Organization 1,COMPLETED,P2: Urgent. Workaround available.,Backlog,Settings; Results; User Access,Mia Wilson; Mia Jackson,23-Sep-25
